Date : 2024-01-22 20:23:27
Directory : c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src
Total : 343 files,  23774 codes, 5183 comments, 2998 blanks, all 31955 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\dialog\dialogActions.js                 | JavaScript |          9 |         15 |          4 |         28 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\dialog\dialogContent.js                 | JavaScript |         22 |         16 |          7 |         45 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\dialog\dialogContentText.js             | JavaScript |         14 |         16 |          6 |         36 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\dialog\dialogTitle.js                   | JavaScript |         12 |         16 |          6 |         34 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\dialog\index.js                         | JavaScript |         16 |         15 |          6 |         37 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\divider.js                              | JavaScript |         44 |         16 |          9 |         69 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\form\autocomplete.js                    | JavaScript |         76 |         16 |         18 |        110 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\form\checkbox.js                        | JavaScript |         55 |         16 |         13 |         84 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\form\formControlLabel.js                | JavaScript |         27 |         16 |          8 |         51 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\form\formLabel.js                       | JavaScript |         10 |         15 |          5 |         30 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\form\input.js                           | JavaScript |         31 |         16 |         11 |         58 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\form\inputLabel.js                      | JavaScript |         35 |         15 |         11 |         61 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\form\inputOutlined.js                   | JavaScript |         45 |         16 |         13 |         74 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\form\radio.js                           | JavaScript |         65 |         16 |         17 |         98 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\form\select.js                          | JavaScript |         25 |         16 |          9 |         50 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\form\switchButton.js                    | JavaScript |         55 |         17 |         17 |         89 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\form\textField.js                       | JavaScript |         10 |         15 |          5 |         30 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\icon.js                                 | JavaScript |         19 |         15 |          7 |         41 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\iconButton.js                           | JavaScript |         12 |         15 |          5 |         32 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\linearProgress.js                       | JavaScript |         29 |         16 |          9 |         54 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\link.js                                 | JavaScript |          7 |         14 |          3 |         24 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\list\index.js                           | JavaScript |          9 |         14 |          3 |         26 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\list\listItem.js                        | JavaScript |         12 |         14 |          4 |         30 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\list\listItemText.js                    | JavaScript |          9 |         14 |          3 |         26 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\menu\index.js                           | JavaScript |         27 |         16 |          7 |         50 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\menu\menuItem.js                        | JavaScript |         26 |         16 |          7 |         49 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\popover.js                              | JavaScript |         18 |         16 |          6 |         40 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\sidenav.js                              | JavaScript |         26 |         16 |          8 |         50 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\slider.js                               | JavaScript |         46 |         16 |         12 |         74 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\stepper\index.js                        | JavaScript |         22 |         16 |          7 |         45 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\stepper\step.js                         | JavaScript |          9 |         15 |          4 |         28 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\stepper\stepConnector.js                | JavaScript |         29 |         15 |          9 |         53 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\stepper\stepIcon.js                     | JavaScript |         34 |         16 |          8 |         58 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\stepper\stepLabel.js                    | JavaScript |         26 |         16 |          8 |         50 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\svgIcon.js                              | JavaScript |         18 |         15 |          7 |         40 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\table\tableCell.js                      | JavaScript |         14 |         16 |          6 |         36 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\table\tableContainer.js                 | JavaScript |         16 |         15 |          5 |         36 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\table\tableHead.js                      | JavaScript |         13 |         16 |          6 |         35 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\tabs\index.js                           | JavaScript |         40 |         16 |         10 |         66 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\tabs\tab.js                             | JavaScript |         41 |         16 |          9 |         66 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\components\tooltip.js                              | JavaScript |         31 |         17 |          9 |         57 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\functions\boxShadow.js                             | JavaScript |         11 |         18 |          6 |         35 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\functions\gradientChartLine.js                     | JavaScript |         11 |         18 |          7 |         36 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\functions\hexToRgb.js                              | JavaScript |          5 |         19 |          5 |         29 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\functions\linearGradient.js                        | JavaScript |          4 |         17 |          4 |         25 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\functions\pxToRem.js                               | JavaScript |          4 |         17 |          4 |         25 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\functions\rgba.js                                  | JavaScript |          5 |         19 |          5 |         29 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\index.js                                           | JavaScript |        133 |         19 |          7 |        159 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\theme-rtl.js                                       | JavaScript |        134 |         19 |          7 |        160 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\base\borders.js                                         | JavaScript |         24 |         21 |          9 |         54 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\base\boxShadows.js                                      | JavaScript |         90 |         21 |          8 |        119 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\base\breakpoints.js                                     | JavaScript |         11 |         19 |          4 |         34 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\base\colors.js                                          | JavaScript |        197 |         19 |         48 |        264 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\base\globals.js                                         | JavaScript |         22 |         15 |          5 |         42 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\base\typography.js                                      | JavaScript |        148 |         21 |         31 |        200 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\appBar.js                                    | JavaScript |         11 |         14 |          4 |         29 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\avatar.js                                    | JavaScript |         16 |         15 |          7 |         38 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\breadcrumbs.js                               | JavaScript |         16 |         15 |          6 |         37 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\buttonBase.js                                | JavaScript |          6 |         14 |          3 |         23 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\button\contained.js                          | JavaScript |         57 |         16 |         19 |         92 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\button\index.js                              | JavaScript |         28 |         15 |          4 |         47 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\button\outlined.js                           | JavaScript |         51 |         16 |         16 |         83 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\button\root.js                               | JavaScript |         30 |         16 |          8 |         54 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\button\text.js                               | JavaScript |         68 |         16 |         21 |        105 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\card\cardContent.js                          | JavaScript |         11 |         15 |          4 |         30 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\card\cardMedia.js                            | JavaScript |         15 |         16 |          7 |         38 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\card\index.js                                | JavaScript |         25 |         16 |          6 |         47 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\container.js                                 | JavaScript |         51 |         16 |          8 |         75 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\dialog\dialogActions.js                      | JavaScript |          9 |         15 |          4 |         28 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\dialog\dialogContent.js                      | JavaScript |         21 |         16 |          7 |         44 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\dialog\dialogContentText.js                  | JavaScript |         13 |         17 |          6 |         36 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\dialog\dialogTitle.js                        | JavaScript |         12 |         16 |          6 |         34 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\dialog\index.js                              | JavaScript |         16 |         15 |          6 |         37 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\divider.js                                   | JavaScript |         44 |         16 |          9 |         69 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\flatpickr.js                                 | JavaScript |         30 |         16 |         10 |         56 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\form\autocomplete.js                         | JavaScript |         69 |         16 |         16 |        101 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\form\checkbox.js                             | JavaScript |         55 |         16 |         13 |         84 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\form\formControlLabel.js                     | JavaScript |         27 |         16 |          8 |         51 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\form\formLabel.js                            | JavaScript |         10 |         15 |          5 |         30 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\form\input.js                                | JavaScript |         24 |         15 |          8 |         47 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\form\inputLabel.js                           | JavaScript |         35 |         15 |         11 |         61 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\form\inputOutlined.js                        | JavaScript |         41 |         16 |         12 |         69 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\form\radio.js                                | JavaScript |         65 |         16 |         17 |         98 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\form\select.js                               | JavaScript |         25 |         16 |          9 |         50 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\form\switchButton.js                         | JavaScript |         55 |         17 |         17 |         89 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\form\textField.js                            | JavaScript |         10 |         15 |          5 |         30 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\icon.js                                      | JavaScript |         19 |         15 |          7 |         41 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\iconButton.js                                | JavaScript |         12 |         15 |          5 |         32 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\linearProgress.js                            | JavaScript |         29 |         16 |          9 |         54 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\link.js                                      | JavaScript |          7 |         14 |          3 |         24 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\list\index.js                                | JavaScript |          9 |         14 |          3 |         26 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\list\listItem.js                             | JavaScript |         12 |         14 |          4 |         30 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\list\listItemText.js                         | JavaScript |          9 |         14 |          3 |         26 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\menu\index.js                                | JavaScript |         27 |         16 |          7 |         50 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\menu\menuItem.js                             | JavaScript |         25 |         16 |          7 |         48 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\popover.js                                   | JavaScript |         18 |         16 |          6 |         40 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\sidenav.js                                   | JavaScript |         26 |         16 |          8 |         50 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\slider.js                                    | JavaScript |         52 |         16 |         14 |         82 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\stepper\index.js                             | JavaScript |         22 |         16 |          7 |         45 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\stepper\step.js                              | JavaScript |          9 |         15 |          4 |         28 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\stepper\stepConnector.js                     | JavaScript |         29 |         15 |          9 |         53 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\stepper\stepIcon.js                          | JavaScript |         34 |         16 |          8 |         58 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\stepper\stepLabel.js                         | JavaScript |         26 |         16 |          8 |         50 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\svgIcon.js                                   | JavaScript |         18 |         15 |          7 |         40 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\table\tableCell.js                           | JavaScript |         14 |         16 |          6 |         36 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\table\tableContainer.js                      | JavaScript |         16 |         15 |          5 |         36 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\table\tableHead.js                           | JavaScript |         13 |         16 |          6 |         35 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\tabs\index.js                                | JavaScript |         40 |         16 |         10 |         66 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\tabs\tab.js                                  | JavaScript |         41 |         16 |          9 |         66 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\components\tooltip.js                                   | JavaScript |         31 |         17 |          9 |         57 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\functions\boxShadow.js                                  | JavaScript |         11 |         18 |          6 |         35 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\functions\gradientChartLine.js                          | JavaScript |         11 |         18 |          7 |         36 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\functions\hexToRgb.js                                   | JavaScript |          5 |         19 |          5 |         29 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\functions\linearGradient.js                             | JavaScript |          4 |         17 |          4 |         25 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\functions\pxToRem.js                                    | JavaScript |          4 |         17 |          4 |         25 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\functions\rgba.js                                       | JavaScript |          5 |         19 |          5 |         29 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\index.js                                                | JavaScript |        133 |         18 |          7 |        158 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme\theme-rtl.js                                            | JavaScript |        134 |         19 |          7 |        160 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDAlert\MDAlertCloseIcon.js                               | JavaScript |         16 |         15 |          5 |         36 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDAlert\MDAlertRoot.js                                    | JavaScript |         27 |         16 |          6 |         49 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDAlert\index.js                                          | JavaScript |         52 |         21 |         14 |         87 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDAvatar\MDAvatarRoot.js                                  | JavaScript |         65 |         17 |          8 |         90 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDAvatar\image.js                                         | JavaScript |         28 |          4 |          6 |         38 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDAvatar\index.js                                         | JavaScript |         27 |         18 |          8 |         53 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDBadge\MDBadgeRoot.js                                    | JavaScript |         93 |         24 |         18 |        135 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDBadge\index.js                                          | JavaScript |         45 |         18 |          8 |         71 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDBox\MDBoxRoot.js                                        | JavaScript |         87 |         19 |         17 |        123 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDBox\index.js                                            | JavaScript |         41 |         18 |          8 |         67 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDButton\MDButtonRoot.js                                  | JavaScript |        188 |         40 |         49 |        277 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDButton\index.js                                         | JavaScript |         48 |         19 |         10 |         77 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDInput\MDInputRoot.js                                    | JavaScript |         44 |         17 |         11 |         72 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDInput\index.js                                          | JavaScript |         17 |         18 |          8 |         43 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDPagination\MDPaginationItemRoot.js                      | JavaScript |         36 |         17 |         10 |         63 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDPagination\index.js                                     | JavaScript |         64 |         20 |         12 |         96 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDProgress\MDProgressRoot.js                              | JavaScript |         23 |         16 |          7 |         46 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDProgress\index.js                                       | JavaScript |         42 |         19 |          9 |         70 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDSelect\index.js                                         | JavaScript |         74 |          2 |          6 |         82 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDSnackbar\MDSnackbarIconRoot.js                          | JavaScript |         25 |         16 |          7 |         48 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDSnackbar\index.js                                       | JavaScript |        139 |         21 |         15 |        175 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDTypography\MDTypographyRoot.js                          | JavaScript |         40 |         18 |          9 |         67 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\components\MDTypography\index.js                                     | JavaScript |         70 |         19 |         10 |         99 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\context\authContext.js                                               | JavaScript |         33 |          0 |          3 |         36 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\context\index.js                                                     | JavaScript |         94 |         26 |         17 |        137 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Breadcrumbs\index.js                                        | JavaScript |         70 |         20 |         11 |        101 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Cards\BlogCards\SimpleBlogCard\index.js                     | JavaScript |         82 |         19 |          8 |        109 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Cards\InfoCards\DefaultInfoCard\index.js                    | JavaScript |         57 |         19 |          8 |         84 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Cards\InfoCards\ProfileInfoCard\api.js                      | JavaScript |          6 |          1 |          3 |         10 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Cards\InfoCards\ProfileInfoCard\index.js                    | JavaScript |        129 |         26 |         14 |        169 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Cards\MasterCard\index.js                                   | JavaScript |         89 |         20 |         12 |        121 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Cards\ProjectCards\DefaultProjectCard\index.js              | JavaScript |        141 |         20 |         11 |        172 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Cards\StatisticsCards\ComplexStatisticsCard\index.js        | JavaScript |         89 |         19 |          8 |        116 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Charts\BarCharts\HorizontalBarChart\configs\index.js        | JavaScript |         63 |         15 |          3 |         81 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Charts\BarCharts\HorizontalBarChart\index.js                | JavaScript |        104 |         22 |         16 |        142 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Charts\BarCharts\ReportsBarChart\configs\index.js           | JavaScript |         81 |         14 |          3 |         98 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Charts\BarCharts\ReportsBarChart\index.js                   | JavaScript |         74 |         21 |         13 |        108 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Charts\BarCharts\VerticalBarChart\configs\index.js          | JavaScript |         60 |         15 |          4 |         79 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Charts\BarCharts\VerticalBarChart\index.js                  | JavaScript |        112 |          8 |         15 |        135 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Charts\BubbleChart\configs\index.js                         | JavaScript |         65 |         15 |          4 |         84 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Charts\BubbleChart\index.js                                 | JavaScript |         98 |         22 |         16 |        136 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Charts\DoughnutCharts\DefaultDoughnutChart\configs\index.js | JavaScript |         52 |         16 |          7 |         75 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Charts\DoughnutCharts\DefaultDoughnutChart\index.js         | JavaScript |         82 |         21 |         14 |        117 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Charts\LineCharts\DefaultLineChart\configs\index.js         | JavaScript |         67 |         15 |          3 |         85 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Charts\LineCharts\DefaultLineChart\index.js                 | JavaScript |        119 |         22 |         16 |        157 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Charts\LineCharts\GradientLineChart\configs\index.js        | JavaScript |         65 |         15 |          4 |         84 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Charts\LineCharts\GradientLineChart\index.js                | JavaScript |        130 |         23 |         21 |        174 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Charts\LineCharts\ProgressLineChart\config\index.js         | JavaScript |         81 |         16 |          6 |        103 |
| c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\examples\Charts\LineCharts\ProgressLineChart\index.js                | JavaScript |         99 |         21 |         13 |        133 |
